chr1:3425974-3426242	chr1:68050553-68050790	chr1:204257416-204257780	chr1:242056982-242057313	chr2:214011-214245	chr2:53859639-53860129	chr2:87825666-87825915	chr2:107544245-107544456	chr4:5568408-5568624	chr4:88697613-88697903	chr4:150582859-150583933	chr4:185638877-185639207	chr5:1277352-1277598	chr5:1339547-1339967	chr5:1416677-1416889	chr5:28809293-28810413	chr5:179257325-179257658	chr5:179559512-179559998	chr6:27871920-27872291	chr6:134176398-134176618	chr6:155218841-155219059	chr6:167719954-167720212	chr6:168535772-168535984	chr6:170275003-170275219	chr7:376426-376627	chr7:635932-636458	chr7:2020272-2020496	chr7:10779678-10780083	chr7:23490815-23491071	chr7:64192252-64192584	chr7:157594361-157594630	chr7:157784993-157785250	chr8:1026015-1026416	chr8:8963256-8963602	chr8:11613505-11613740	chr8:22010221-22010693	chr8:22056764-22057014	chr8:132129318-132129569	chr8:143379802-143380091	chr8:144270459-144270724	chr9:13323113-13323351	chr9:95313136-95313459	chr9:133701451-133701774	chr9:134049340-134049554	chr9:137217297-137217540	chr10:413752-414118	chr10:479779-480101	chr10:104268766-104269289	chr10:132924714-132925200	chr11:32437876-32438332	chr11:47378237-47378455	chr11:48968624-48968933	chr11:64085331-64085610	chr11:95150171-95150401	chr11:117481976-117482246	chr11:128451766-128452000	chr12:111037149-111037438	chr12:124387589-124387873	chr13:52195421-52195743	chr13:112036871-112037219	chr13:113023313-113023522	chr14:101442444-101442685	chr15:26628950-26629381	chr15:52794432-52794661	chr15:52795014-52795291	chr16:1027527-1027772	chr16:2036419-2036891	chr16:4680261-4680486	chr16:19183561-19183887	chr16:28740761-28741011	chr16:49638532-49638814	chr16:59754888-59755168	chr16:72787241-72787693	chr16:85948046-85948359	chr16:88103639-88103992	chr17:78450564-78450788	chr17:79942885-79943117	chr18:10589152-10589389	chr18:37336749-37336952	chr18:50268080-50268626	chr18:78313274-78313558	chr18:80147414-80147683	chr19:3387965-3388205	chr19:40623942-40624207	chr19:42199452-42199824	chr19:45677962-45678197	chr19:51887588-51888115	chr20:19974892-19975390	chr20:20452461-20452685	chr20:43513918-43514127	chr20:43514570-43514951	chr21:41756502-41756734	chr21:42106460-42106707	chr21:45984194-45984398	chr22:11598866-11599125	chr22:46439087-46439388	chr22:48646559-48646820	chr22:49102438-49102653	chrX:663882-664104	chrX:30247055-30247438	chrX:34131147-34131369
K562.pool73.S4.J.GACGAG	NA	0.6	NA	NA	0	0.985714285714286	0	NA	NA	1	NA	NA	0	NA	0	0	0.142857142857143	NA	1	1	0	0	NA	0	0	0.923076923076923	NA	0	0	0	NA	0	0	NA	0.125	1	NA	NA	0	0.952380952380952	0	NA	0	0.888888888888889	0	0.285714285714286	NA	NA	NA	NA	0	0	0.95	1	0.111111111111111	NA	0.166666666666667	0.857142857142857	NA	0	NA	NA	0	0	NA	0.272727272727273	0.875	0.857142857142857	0.7	0.818181818181818	NA	0	0.785714285714286	NA	0	0	0.2	0.785714285714286	NA	NA	0	NA	NA	0	0	1	1	NA	NA	NA	NA	0.0476190476190476	0	0	0	0	0	NA	NA	0	0
K562.pool73.S4.K.AAGGTC	NA	0.269230769230769	0	NA	0	1	0	0.166666666666667	0	NA	1	NA	0	NA	0	0.0299145299145299	0.2	1	1	NA	NA	0	NA	0.5	NA	NA	0.75	0.133333333333333	1	0.05	0	0	NA	1	0.0588235294117647	1	NA	NA	0	NA	0.0833333333333333	NA	0	1	NA	0	0	NA	0	1	0	0.125	0.854166666666667	1	NA	0	0	NA	NA	NA	NA	NA	0	NA	0.142857142857143	0.0555555555555556	1	0.785714285714286	NA	NA	0.0526315789473684	0	NA	0	0	0	NA	NA	0.125	1	0.0384615384615385	NA	NA	0	NA	0.928571428571429	1	0	NA	0.5	0.952380952380952	0	0	0.666666666666667	0	0.0909090909090909	0	0	0.166666666666667	NA	NA
K562.pool73.S4.L.TGTAGC	0	1	0	0	0	1	NA	0.3	NA	1	NA	NA	0	1	0.153846153846154	0.00657894736842105	NA	1	1	0.833333333333333	1	NA	0	NA	NA	0.5625	0	0	0.383333333333333	0	NA	0.25	0	NA	0	1	NA	0.2	0	1	NA	1	0.0392156862745098	NA	0.125	NA	0	0.857142857142857	NA	1	0	0	NA	1	0	0	0.0153846153846154	0.916666666666667	NA	0	0	NA	0.101449275362319	0	0.0119047619047619	NA	0.944444444444444	0.857142857142857	NA	1	0.714285714285714	0	NA	0	NA	0.666666666666667	0	0.428571428571429	NA	0.864035087719298	0	1	0.888888888888889	NA	0	0.907407407407407	NA	0.181818181818182	NA	NA	NA	0	0	0.666666666666667	0	NA	NA	0	NA	0.0833333333333333	0.666666666666667
K562.pool73.S4.M.TTGGCA	0	NA	0	0	0.125	NA	0.571428571428571	0	NA	NA	0.99	0.0909090909090909	NA	0.842105263157895	0	0.0204081632653061	0	0.962962962962963	0.95	1	NA	0	1	0.0476190476190476	NA	0	0	0	1	0	NA	0	NA	NA	NA	0.958333333333333	NA	0	0.333333333333333	NA	NA	1	0	1	NA	NA	NA	0.928571428571429	NA	NA	0	0	NA	NA	NA	NA	0	1	1	0	NA	NA	0	0	NA	0	1	NA	0	NA	NA	0	1	0	NA	NA	0	0.0333333333333333	0	1	0	1	0.875	0	0.142857142857143	1	1	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	0.272727272727273	NA
K562.pool73.S4.N.CTACTG	0.4	0.452475434618292	0.0434782608695652	0	NA	1	NA	0.666666666666667	NA	0.966666666666667	0.978723404255319	0	0.738095238095238	0.833333333333333	0	0.00847457627118644	0.0384615384615385	1	0.941176470588235	0.947368421052632	0	0	0	0	0	0.0266666666666666	0.311111111111111	0	0.526315789473684	0	0.0490196078431372	0	0	1	0.0980392156862745	0.911111111111111	0	0	0.0588235294117647	NA	0	1	0	1	0	0	0	0.981981981981982	0.0588235294117647	0.952380952380952	0	0	1	NA	0	0	NA	0.857142857142857	0.991666666666667	0	0	NA	0	0.264705882352941	NA	0	0.885416666666667	0.958333333333333	0	1	0	0	1	0.333333333333333	0	0	NA	0.473684210526316	0.0625	NA	0.4	1	0.9	0	0	1	NA	0.0133333333333333	0	0.441176470588235	1	0	NA	0.0909090909090909	0.0555555555555556	0	0	0	0	0	NA
K562.pool73.S4.O.CATATG	0.125	0.4	0	NA	0.166666666666667	1	NA	0	0	NA	NA	NA	0	NA	0	0	0	0.909090909090909	1	NA	0.25	0	0.833333333333333	0	0	NA	0.142857142857143	0	1	0	0.307692307692308	0.272727272727273	0	1	0.333333333333333	0.958333333333333	0	NA	0.3	1	NA	1	0	NA	0	0.0666666666666667	0	1	0.130434782608696	1	0.125	0	NA	0.958333333333333	0	0	NA	NA	NA	NA	0	NA	0.333333333333333	NA	0.0606060606060606	1	1	NA	NA	1	0	0	NA	0.0555555555555556	0	NA	0.411764705882353	NA	0.3125	NA	NA	NA	0.888888888888889	0	0.0769230769230769	1	1	NA	NA	1	1	0	0	0	0	0	0.0714285714285714	0	0	NA	0
K562.pool73.S4.P.GTATAC	0	0.842105263157895	0	0	0	NA	NA	NA	0	NA	1	NA	NA	1	0	0	0	1	NA	1	NA	NA	NA	0.233333333333333	0.2	NA	0.4	0	0.923076923076923	0.0625	0.212121212121212	0	NA	1	0.266666666666667	NA	NA	0	0	1	NA	0.95	0	0.833333333333333	0	0	NA	0.958333333333333	NA	0.947368421052632	NA	0	1	0.75	0	NA	NA	1	NA	0	0	NA	0.1	NA	NA	0	0.895833333333333	NA	NA	1	0.222222222222222	NA	NA	NA	NA	NA	NA	0	0	1	0	1	0.857142857142857	0	0	1	1	0	NA	NA	0.325757575757576	NA	0	0.0978260869565217	NA	0.285714285714286	0	0	NA	0.1	0.153846153846154
K562.pool73.S4.Q.ACCTTC	NA	1	0	0	NA	NA	0.416666666666667	0	NA	NA	NA	NA	1	1	NA	0.04	0	NA	NA	NA	0	0	0	NA	NA	0.125	0.214285714285714	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.0909090909090909	NA	NA	0.96	0	NA	0	0	0	1	0	1	0.0277777777777777	0.0476190476190476	1	NA	NA	0	0	0.964705882352941	NA	NA	NA	NA	0.3	NA	NA	NA	0.75	NA	0	NA	0	0	1	0	0	0.0416666666666666	0	0	NA	1	NA	NA	1	NA	0	1	1	NA	NA	NA	1	0.0666666666666667	0	0.0144927536231884	0	NA	0.2	NA	NA	0	NA
K562.pool73.S4.R.CTTCCA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
K562.pool73.S4.S.CGAATG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
K562.pool73.S4.T.AGCATC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
K562.pool73.S4.U.TACCGA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
K562.pool73.S4.V.CAAGGA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
K562.pool73.S4.X.CCGTAA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
K562.pool73.S4.Y.ATAGAC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
K562.pool73.S4.Z.AGGTCT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
K562.pool74.S5.A.TAGCTT	0.133333333333333	NA	0	NA	0.142857142857143	NA	0	NA	0.203703703703704	NA	1	NA	1	NA	0	0	0.0277777777777777	0.875	NA	NA	NA	0.222222222222222	NA	0	0	0	NA	0	1	0	0	0	0	0.818181818181818	NA	1	0.75	0	1	NA	NA	NA	0.2	1	NA	NA	0	1	0	NA	NA	0	1	NA	0.625	NA	0.111111111111111	NA	NA	0	0	0	0.0526315789473684	0	0.1	0.222222222222222	1	NA	NA	NA	0	NA	1	0.117647058823529	0	NA	0	NA	NA	1	0	NA	NA	NA	0	0.9	1	NA	NA	1	0.444444444444444	0	0	0	0	NA	NA	0	NA	0.036231884057971	NA
K562.pool74.S5.AA.GGAATG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
K562.pool74.S5.B.ACTTGA	0.444444444444444	0.166666666666667	NA	0	NA	0.925	NA	NA	NA	0.928571428571429	1	0	NA	1	0	0	0	1	NA	NA	0	0	0.230769230769231	0.0833333333333333	NA	NA	0	NA	NA	0	0	0	NA	1	NA	1	NA	NA	NA	0.892857142857143	NA	NA	0.1	NA	0	0	0	NA	0.0833333333333333	1	NA	0	NA	1	NA	0	0	0.818181818181818	NA	NA	0	0	0.0277777777777777	NA	0.03125	NA	NA	0.9	0.333333333333333	0.875	0	0	1	NA	0	NA	0	0.45	0	1	NA	1	1	0	0.0833333333333333	NA	0.979166666666667	NA	NA	NA	NA	NA	NA	0	NA	0	NA	NA	NA	0	0.111111111111111
K562.pool74.S5.BB.GCTTCA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
K562.pool74.S5.C.GCCAAT	0	1	0	0	0.666666666666667	NA	0.826086956521739	NA	0	0.9	1	NA	NA	1	0	0	NA	1	0.961538461538462	NA	NA	0	0.4	0	0	NA	0.0909090909090909	0	0.601851851851852	0	NA	NA	0.0277777777777778	NA	0	NA	0	0	0	NA	NA	1	0.125	NA	NA	NA	NA	NA	0	NA	NA	0.833333333333333	1	1	0.0909090909090909	NA	0	NA	NA	NA	NA	NA	0	NA	NA	0.142857142857143	1	NA	0	NA	0.111111111111111	NA	1	NA	0	NA	NA	NA	NA	NA	NA	NA	1	0	NA	0.928571428571429	NA	0	NA	1	NA	NA	0	0.333333333333333	0	NA	NA	0	NA	NA	0.0833333333333333
K562.pool74.S5.CC.TCCTAT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
K562.pool74.S5.D.CGATGT	0	NA	0.142857142857143	0.545454545454545	0	NA	NA	0	NA	0.909090909090909	0.961538461538462	NA	NA	1	NA	0	0	NA	0.96551724137931	1	NA	NA	NA	0.75	0.125	0	NA	0	1	0	NA	NA	0	0.956521739130435	0	1	0	0	0.166666666666667	1	NA	0.923076923076923	0	NA	NA	NA	0	NA	0	NA	0	NA	1	0.714285714285714	NA	0.0454545454545455	0	NA	1	0	NA	0	0.333333333333333	NA	0	NA	1	NA	0	NA	NA	NA	NA	0	NA	NA	NA	0	0.244444444444445	NA	NA	NA	1	NA	0.02	NA	1	NA	NA	NA	NA	NA	NA	0.923076923076923	0	0	0	NA	NA	NA	0
K562.pool74.S5.DD.TAAGGC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
K562.pool74.S5.EE.AACCTG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
K562.pool74.S5.F.ATCACG	NA	1	0	0.142857142857143	NA	1	NA	0.222222222222222	0	NA	1	NA	0	0.875	0	0	0	1	1	NA	NA	0	1	0.142857142857143	0.1	NA	0	0	1	0	0	0	0	1	0	NA	NA	0	0	NA	NA	0.972222222222222	0	0.916666666666667	0.111111111111111	0.0984848484848485	NA	0.979166666666667	0.0967741935483871	NA	NA	NA	0.857142857142857	NA	0	0	NA	0.75	NA	0	0	0.0909090909090909	NA	0	0	NA	NA	1	0	NA	0.153846153846154	0	1	0	0	NA	0	0.0833333333333332	0.15	1	0	1	1	0	NA	0.882352941176471	NA	NA	0.111111111111111	1	0.72	NA	0	0.241666666666667	0	NA	0	NA	NA	0.25	NA
K562.pool74.S5.FF.TTCCCG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
K562.pool74.S5.G.TGACCA	0	0.733333333333333	0.0666666666666667	0	NA	1	NA	1	0	0.916666666666667	1	NA	0	NA	NA	0	0	0.941176470588235	0.961538461538462	1	0	1	0	0	0.333333333333333	0	NA	0	0.357142857142857	0.142857142857143	0.307692307692308	NA	0	0.944444444444444	0	1	NA	NA	NA	0.75	NA	NA	0	NA	0	0	0	1	0.235294117647059	1	NA	0	0.5	NA	NA	0	0.142857142857143	NA	NA	NA	NA	NA	NA	NA	0.181818181818182	NA	1	0.916666666666667	0.333333333333333	0.428571428571429	NA	NA	NA	NA	0.025	0	NA	NA	0.371428571428571	NA	NA	0.972222222222222	0.9375	0.0714285714285714	0	1	NA	0.0625	0	0.82051282051282	0.875	NA	0	NA	0	0.05	NA	0	0	0.833333333333333	NA
K562.pool74.S5.GG.GATCAT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
K562.pool74.S5.H.CAGATC	0.0666666666666667	0.692307692307692	0	0.0526315789473684	0	0.923076923076923	NA	NA	NA	NA	NA	0.125	NA	0.875	0	0	0	0.952380952380952	0.952380952380952	0.9375	0	NA	NA	NA	NA	NA	0	NA	0.933333333333333	NA	0	0	0	1	NA	1	0.157894736842105	NA	0	NA	NA	1	0	NA	NA	0	0	1	0	1	NA	0.153846153846154	0.944444444444444	NA	0	0	0.2	NA	NA	NA	0	0	0	NA	NA	0.1	0.985294117647059	1	NA	NA	NA	NA	NA	NA	0	0	0.222222222222222	0	NA	0.923076923076923	NA	1	NA	0	0	NA	1	0	0.5	NA	1	0	NA	0.269230769230769	0	0	0	NA	0	0	NA
K562.pool74.S5.HH.GCACTT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
K562.pool74.S5.I.CTTGTA	NA	NA	1	0	NA	1	0.75	0.125	0	NA	0.971428571428571	NA	NA	0.888888888888889	NA	0	0.142857142857143	1	1	0.988095238095238	0	0	0	0.1	NA	0	0.455882352941176	0	NA	0	0	0	0	1	NA	1	NA	0.222222222222222	0.157894736842105	1	NA	0.777777777777778	0	NA	0	NA	NA	0.95	0	0.95	0.125	0	0.912280701754386	1	0.0740740740740741	NA	0	0.916666666666667	1	NA	0	0.166666666666667	0.111111111111111	0	0.0909090909090909	NA	1	NA	0.5	0.8	0.464285714285714	0	1	0	0	0	NA	0.5	0.166666666666667	NA	NA	NA	0.916666666666667	0	0	0.888888888888889	1	NA	NA	0.9	0.0166666666666667	0	0	0	0	0.0625	NA	0	NA	0	0
K562.pool74.S5.J.GACGAG	0	NA	0	NA	NA	1	0.4	NA	NA	NA	0.963414634146341	NA	NA	NA	NA	0	0	1	0.944444444444444	0.96	0	NA	NA	NA	0	NA	0	0.285714285714286	0	0.111111111111111	0	0	0	NA	NA	NA	0.0625	0	0	1	0.111111111111111	NA	0	NA	NA	0.1	0	NA	0	NA	NA	NA	NA	NA	0.25	NA	0.875	NA	NA	NA	0	NA	0.129032258064516	0	NA	0.6	0.944444444444444	0.933333333333333	NA	NA	0.0384615384615385	0	NA	NA	NA	NA	NA	NA	0.666666666666667	NA	NA	0.941176470588235	NA	NA	0	NA	NA	NA	NA	1	NA	0	NA	NA	NA	NA	NA	NA	NA	0	NA
K562.pool74.S5.K.AAGGTC	NA	0.75	0	0	NA	1	NA	0.75	0	0.941176470588235	1	0.0833333333333333	0	1	0.0238095238095238	0	0	NA	0.956521739130435	1	NA	0.0499999999999999	0	0.230769230769231	0	0	0.0909090909090909	0	0.3	0	0	0	0	0.958333333333333	NA	1	0	NA	0	0.777777777777778	NA	NA	NA	1	0	0	NA	NA	NA	NA	NA	0.388888888888889	0.75	NA	0	0.333333333333333	NA	NA	NA	0	NA	NA	0	NA	NA	NA	1	1	0	1	NA	0	NA	0	0	0	0	NA	0	1	NA	NA	0.857142857142857	0	0	NA	NA	NA	0	0.19047619047619	1	0	0	NA	0	0	0	NA	NA	0.0666666666666667	0.222222222222222
K562.pool74.S5.L.TGTAGC	NA	0.833333333333333	0.0133333333333333	0.375	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	0	0	1	0.972972972972973	NA	NA	0	0	0	NA	0	0	NA	NA	0	NA	0	NA	0.888888888888889	NA	1	0	NA	0.5	NA	0	0.9375	NA	NA	0	0.1875	0	NA	0	NA	NA	0.3	0.933333333333333	NA	NA	NA	0.0909090909090909	NA	1	NA	NA	0.105263157894737	NA	NA	0	NA	1	0.928571428571429	NA	NA	NA	0	NA	NA	NA	NA	0.176470588235294	0.0434782608695652	0	0.9	NA	1	1	0	NA	NA	1	NA	NA	0	NA	0	NA	0	0	NA	NA	0	NA	NA	NA
K562.pool74.S5.M.TTGGCA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
